,Solar-bus015,Solar-bus018,Solar-bus019,Solar-bus032,Solar-bus054,Solar-bus055,Solar-bus069,Solar-bus076,Solar-bus092,Solar-bus100,Solar-bus104,Solar-bus105,Solar-bus110,Solar-bus112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0.181468661,0,0,0,0,0,1.953619564,0.380730091,10.17957353,1.474144871,2.067452716,0.859457418
27,0,0.468626617,0.871388819,0,0,0,0,0,6.880454109,1.40708425,25.48007039,4.853053945,6.444981906,2.857916506
28,0,2.747002951,2.513208972,0,0,0,0,0,16.77384672,3.541138393,44.7550304,11.26416822,14.31201866,6.684373539
29,1.950410839,7.61994061,5.550377615,2.159422762,1.554908443,0.110887922,0.446353027,0.110998838,33.62714047,7.244968438,66.85799341,21.83492871,26.84799405,13.02782479
30,7.198424791,15.68815694,10.28205123,24.20139229,10.60463542,1.256737911,4.182209685,1.257994965,58.61143201,12.78794573,90.78145942,37.18210825,44.34753652,22.28023498
31,14.55052385,26.2596807,16.43021827,55.8826748,23.40443109,2.909649374,9.461608054,2.912559756,89.60883225,19.66862334,116.0737691,55.87980709,63.56606388,33.64544266
32,23.23513449,38.31936855,23.57257516,93.56942664,38.37395531,4.887055921,15.58545857,4.891944207,123.6792057,27.19284976,142.4222233,75.99145732,80.37419129,46.0302548
33,32.48068318,50.85207711,31.28681833,133.6278041,53.93286791,7.006391158,21.85467169,7.013399314,157.8824167,34.66647349,169.5141229,95.58049102,90.64253392,58.34147839
34,41.62405696,62.99167662,39.17581952,172.9824664,68.77751017,9.111480777,27.70777854,9.120594554,189.6690106,41.53335278,196.9453009,113.0228415,91.9762711,69.62433701
35,50.43598518,74.46809171,46.9431517,210.7920846,82.710949,11.1517188,33.1337931,11.16287333,218.0522559,47.78938492,223.9457195,127.9444469,88.91883887,79.47772059
36,58.79565774,85.16026063,54.31756313,246.7738326,95.81293274,13.10289133,38.25935002,13.11599753,242.4361018,53.56847698,249.6538727,140.2837467,87.74823746,87.63893563
37,66.58226455,94.94712159,61.02780209,280.6448841,108.1632097,14.94078448,43.21108397,14.95572903,262.2244975,59.00453599,273.208255,149.9791803,94.74246708,93.84528865
38,73.69471891,103.7384696,66.86616861,312.1463839,119.770449,16.64397999,48.04816378,16.66062816,277.1316552,64.15793653,293.9898467,157.164192,114.0639918,98.02102088
39,80.11082763,111.5675265,71.87916982,341.1153598,130.3590026,18.20224218,52.55989491,18.220449,288.1128386,68.79492325,312.3495726,162.7522464,141.4131311,100.8381125
40,85.8281209,118.4983709,76.17686461,367.4128102,139.5821432,19.608131,56.46811701,19.62774407,296.4335745,72.60820832,328.880844,167.8518131,170.3746682,103.1554783
41,90.84412891,124.5950816,79.86931185,390.8997337,147.0931438,20.85420642,59.4946697,20.87506588,303.3593895,75.29050389,344.1770717,173.5713614,194.5333865,105.8320333
42,95.16333781,129.910868,83.04640839,411.5226802,152.7021356,21.93555105,61.49455088,21.95749213,309.9798633,76.68761425,358.5371609,180.6386737,208.9813574,109.4362294
43,98.81805757,134.4554632,85.71740282,429.5704052,156.8466844,22.85733812,62.85539143,22.88020122,316.680787,77.25771217,371.0819924,188.2587826,214.8398053,113.3746673
44,101.8475541,138.2277312,87.87138171,445.4172155,160.1212147,23.62726352,64.0979805,23.65089674,323.6720049,77.6120625,380.6379414,195.2560335,214.7372426,116.7634849
45,104.2910934,141.2265361,89.4974316,459.4374182,163.1201507,24.25302314,65.74310725,24.27728227,331.163361,78.36193014,386.0313828,200.4547719,211.3021818,118.7188198
46,106.1813527,143.4546858,90.59454521,471.8633481,166.2757497,24.74159917,68.12098683,24.766347,339.1328386,79.88971311,386.5703848,202.9596208,206.6845931,118.6023707
47,107.5246551,144.9307647,91.20133996,482.3594522,169.3716003,25.09711903,70.79953847,25.12222246,346.6309775,81.66234205,383.4897888,202.9963144,201.1202777,116.7580792
48,108.320735,145.6773009,91.3663394,490.4482056,172.0291237,25.32299644,73.15610741,25.34832581,352.4764563,82.91788078,378.5061293,201.0708643,194.3664944,113.7754478
49,108.5693268,145.7168227,91.13806711,495.6520832,173.8697412,25.42264514,74.5680389,25.44807418,355.4879538,82.89439309,373.3359409,197.6892824,186.1805022,110.2439789
50,108.2695841,145.0647362,90.55064088,497.6226384,174.5633195,25.39783856,74.68570418,25.42324278,354.8267806,81.08774786,369.1470139,193.352554,176.5836048,106.7033893
51,107.4183375,143.7079589,89.58055534,496.5277382,173.9735064,25.24378897,74.25157851,25.26903912,351.024774,78.02503424,364.912161,188.5415589,166.6532859,103.4942537
