,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1,0,0,0.860754277,0.484854098,0,0,0,0,0,0,0,0.00346008,0.078314479,1.802218012,10.13156162,0.125530482,130.2325516
2,1.04E-06,8.59E-06,0.798606507,0.461396534,0,0.001054389,3.24E-06,0,0,1.23E-11,5.39E-06,0.102146003,0.117827517,1.391691758,11.72799944,0,126.8338532
3,1.39E-06,1.14E-05,0.724816828,0.43037658,0,0.001042677,4.32E-06,0,0,1.64E-11,7.19E-06,0.129868683,0.134021318,1.111456351,13.7384432,0,118.1453846
4,1.04E-06,8.59E-06,0.642980295,0.393900793,0,0.000509627,3.24E-06,0,0,1.23E-11,5.39E-06,0.120436001,0.13431916,0.942776682,16.0293369,0,105.3621528
5,0,0,0.556691964,0.354075733,0,0,0,0,0,0,0,0.107655842,0.126144324,0.866917645,18.46712456,0.502142282,89.6791648
6,0,0,0.469837849,0.313182892,7.25E-12,0.000180102,0,1.34E-11,3.15E-10,0,0,0.132103813,0.118443337,0.865967841,20.92043197,1.417283092,72.39830634
7,0,0,0.387467794,0.274203491,1.29E-11,0.00220241,0,2.39E-11,5.61E-10,0,0,0.261426426,0.126255724,0.925310719,23.2666122,2.395353638,55.24897891
8,0,0,0.314922602,0.240293685,1.21E-11,0.007340944,0,2.24E-11,5.26E-10,0,0,0.570037916,0.166144259,1.031153438,25.38520011,3.278392657,40.06746283
9,0,0,0.257543075,0.214609629,3.23E-27,0.016869725,3.39E-21,0,0,0,3.39E-21,1.132352521,0.254671718,1.169703154,27.15573056,3.908438887,28.69003844
10,5.20E-06,4.29E-05,0.219215226,0.199432814,0,0.031455057,1.62E-05,0,0,6.17E-11,2.70E-05,1.988945849,0.400784629,1.323048473,28.44682937,4.166950687,22.41859158
11,9.70E-06,8.01E-05,0.198005913,0.19354608,0,0.049332385,3.02E-05,0,0,1.15E-10,5.03E-05,3.045038994,0.582964534,1.456803776,29.08348613,4.093064907,20.41743017
12,9.36E-06,7.73E-05,0.190527203,0.194857603,0,0.068129438,2.91E-05,0,0,1.11E-10,4.85E-05,4.172014426,0.772076731,1.532464891,28.87978137,3.76533802,21.31646764
13,0,0,0.193391164,0.201275559,0,0.085473945,0,0,0,0,1.36E-20,5.24125461,0.938986516,1.511527645,27.64979565,3.262326497,23.74561742
14,0,0,0.203451834,0.210899408,8.95E-11,0.099580036,0,1.66E-10,3.89E-09,0,0,6.152637824,1.064257008,1.377058886,25.34602341,2.659804439,26.4306222
15,0,0,0.218531123,0.222593746,1.68E-10,0.111007445,0,3.11E-10,7.29E-09,0,0,6.920025584,1.167242605,1.198409542,22.4746148,2.022416459,28.48054176
16,0,0,0.23669291,0.23541445,1.62E-10,0.120902307,0,3.00E-10,7.04E-09,0,0,7.585775215,1.276995528,1.066501561,19.68013387,1.412024797,29.10026512
17,0,0,0.256001074,0.248417401,5.17E-26,0.130410756,2.71E-20,0,0,0,0,8.192244044,1.422567997,1.072256891,17.60714467,0.890491693,27.49468134
18,7.17E-05,0.000592518,0.275270237,0.26118329,0,0.140043741,0.000223372,0,0,8.51E-10,0.000372161,8.760402408,1.620403409,1.27448639,16.71402832,0.505818389,23.22451697
19,0.000134482,0.001110614,0.296317979,0.275392058,0,0.147771459,0.000418688,0,0,1.59E-09,0.000697577,9.22567269,1.836509857,1.603556557,16.71443415,0.25056213,17.27384869
20,0.000129976,0.001073402,0.321712624,0.293248458,0,0.15092892,0.00040466,0,0,1.54E-09,0.000674204,9.502090286,2.024286613,1.957722799,17.13582855,0.103419162,10.98259073
21,0,0,0.354022492,0.316957244,0,0.146851136,1.08E-19,4.14E-25,1.32E-23,0,0,9.503690591,2.137132947,2.235240526,17.50567792,0.04308573,5.690657292
22,0,0,0.396103528,0.349242419,1.25E-09,0.134045526,0,2.31E-09,5.41E-08,0,0,9.181034806,2.150121635,2.360747065,17.47250435,0.047873772,2.4146206
23,0,0,0.451962158,0.394904976,2.33E-09,0.115709143,0,4.33E-09,1.01E-07,0,0,8.630787357,2.12501948,2.364407427,17.16905276,0.094557991,0.877684956
24,0,0,0.525892429,0.459265158,2.26E-09,0.096211449,0,4.18E-09,9.81E-08,0,0,7.986138478,2.14526679,2.302768542,16.84912376,0.159528781,0.479712677
25,0,0,0.622188387,0.547643205,8.27E-25,0.079921908,0,0,0,0,8.67E-19,7.3802784,2.294303876,2.232377341,16.76651797,0.219176537,0.620566079
