,Solar-bus015,Solar-bus018,Solar-bus019,Solar-bus032,Solar-bus054,Solar-bus055,Solar-bus069,Solar-bus076,Solar-bus092,Solar-bus100,Solar-bus104,Solar-bus105,Solar-bus110,Solar-bus112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0.009905649,0,0,0,0,0,1.510640213,0.894312484,9.001168653,1.408111036,0.032103043,0.773026633
27,0,0,0.554347893,0,0,0,0,0,5.94738858,2.482297922,23.26061692,4.395370233,0.755406332,2.643151372
28,0,1.949843931,2.221076978,0,0,0,0,0,15.54889934,4.934321486,42.57654556,9.771508611,2.916953553,6.310857369
29,1.4368622,6.743344905,5.597843155,0.089329727,0.200919005,0,0.07150976,0,32.55382674,8.420748347,66.74715534,18.34625719,7.263788394,12.47662778
30,5.731072795,14.94064963,11.04955859,15.65184997,5.179796482,0.815306093,2.733217513,0.816121604,58.2959846,13.0291104,95.37687557,30.57380227,14.54838636,21.54098796
31,11.78867333,25.62533532,18.04978317,38.83628106,12.74806728,2.023808531,6.682040303,2.025832849,90.48982511,18.51560643,127.2950498,45.48615124,25.54495025,32.70463207
32,18.99081964,37.49106121,25.84923866,67.6788081,22.48200589,3.514835208,11.57574803,3.518350928,125.94496,24.55360197,161.13725,61.7597668,41.03311469,44.86829649
33,26.71866754,49.23148654,33.69864687,100.2156162,33.95788679,5.177714016,17.07211058,5.182893034,161.4710011,30.81646251,195.5390483,78.07111161,61.79251427,56.93271757
34,34.44387847,59.8251388,40.98794605,134.5996006,46.64057778,6.913947936,22.8192173,6.920863626,194.4120451,37.05043802,229.1700048,93.43305514,87.84077834,67.99693672
35,42.00013629,69.3900185,47.66394028,169.4504973,59.54932,8.673740303,28.42643525,8.68241623,224.250129,43.29331619,260.8356315,108.204094,116.1475151,77.95321545
36,49.31163043,78.32899442,53.81265012,203.5047521,71.59194788,10.41946954,33.49345096,10.42989164,251.0017746,49.65576917,289.3754284,123.0791315,142.9203273,86.89212033
37,56.30255035,87.04493533,59.52009612,235.4988112,81.6762959,12.11351407,37.61995095,12.12563064,274.6835038,56.24846909,313.6288958,138.7530711,164.366818,94.90421791
38,62.89771831,95.81598923,64.83982995,264.3920532,89.15237517,13.72148548,40.49750093,13.73521042,295.3659984,63.06894528,332.8685387,155.5634048,177.6962671,102.0762632
39,69.02448778,104.421421,69.69552776,290.035587,95.13890348,15.22192797,42.18518348,15.23715373,313.3365797,69.66215582,348.0988827,172.4179796,184.1246628,108.4797647
40,74.61084506,112.5157747,73.97839683,312.5034544,101.1967753,16.59661892,42.83396036,16.61321972,328.936729,75.45991601,360.7574585,187.867231,185.8696704,114.1824197
41,79.58477644,119.7535946,77.57964444,331.8696968,108.8868851,17.82733569,42.59479336,17.84516752,342.5079276,79.8940411,372.2817967,200.4615947,185.1489553,119.2519251
42,83.89082054,125.7796257,80.44308317,348.2637381,119.206889,18.89826348,41.65568719,18.91716651,354.3082463,82.60499476,383.6912496,209.1777433,183.9874611,123.7310347
43,87.53972536,130.1994172,82.72294683,362.0365304,130.9014895,19.80321878,40.35281839,19.823027,364.262115,84.06783411,394.332456,214.6972976,183.6392443,127.5627288
44,90.55879122,132.6087193,84.62607456,373.5944081,142.1521508,20.5384259,39.05940642,20.5589695,372.210553,84.96626468,403.1338759,218.1281155,185.1656399,130.6650444
45,92.97531845,132.6032823,86.35930546,383.3437056,151.1403373,21.10010913,38.14867076,21.12121456,377.9945799,85.98399196,409.0239697,220.5780549,189.6279828,132.9560185
46,94.79810969,130.0861786,88.01595981,391.573663,156.5093652,21.48705118,37.90814211,21.50854365,381.538267,87.56416564,411.2266095,222.7864312,197.5425079,134.3823316
47,95.9619768,126.1897698,89.23528245,398.1051438,158.7499598,21.7082683,38.28259607,21.72998203,383.0978935,89.18771214,410.1473149,224.0183901,207.2450508,135.0052375
48,96.38323393,122.3537396,89.54299935,402.6419173,158.8146984,21.7753351,39.13111947,21.79711592,383.0127906,90.09500202,406.4870175,223.170535,216.5263471,134.9146337
49,95.97819523,120.0177719,88.4648365,404.8877529,157.6561583,21.69982622,40.31279913,21.72153151,381.6222895,89.52640589,400.9466488,219.1394692,223.1771322,134.2004175
50,94.72315785,120.1497903,85.72387841,404.6512531,156.0381306,21.50024453,41.65917948,21.52175019,379.1294182,86.93752428,394.0882904,211.3672843,225.3814812,132.919504
51,92.83435086,121.830678,81.83264375,402.1603536,153.9692612,21.22280583,42.89163532,21.24403398,375.191992,82.64487755,385.9186248,201.4780246,222.8968261,130.9968796
