,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1/1/13 0:00,0,0,0,0,0,0,0,0,0.008894315,0.532770048,0,0,0,0,0.176805233,0.062114239,0
1/1/13 0:15,0,0,0,0,0,0,0,0,0.005303624,0.317666925,0,0,0,0,0.105421417,0.037035925,0
1/1/13 0:30,0,0,0,0,0,0,0,0,0.00271699,0.162720564,0,0,0,0,0.054000994,0.018971142,0
1/1/13 0:45,0,0,0,0,0,0,0,0,0.00099544,0.059606433,0,0,0,0,0.019781381,0.006949346,0
1/1/13 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 1:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 2:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009795775
1/1/13 4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021840745
1/1/13 4:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032053958
1/1/13 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036354456
1/1/13 5:15,0,0,0,0,0,0,0,0,0,0,0,0,0.000445016,0,0,0,0.032023627
1/1/13 5:30,0,0,0,0,0,0,0,0,0,0,0,0,0.000970254,0,0,0,0.021792222
1/1/13 5:45,0,0,0,0,0,0,0,0,0,0,0,0,0.001365872,0,0,0,0.009753322
1/1/13 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0.001422017,0,0,0,0
1/1/13 6:15,0,0,0,0,0,0,0,0,0,0,0,0,0.001021732,0,0,0,0
1/1/13 6:30,0,0,0,0,0,0,0,0,0,0,0,0,0.000419631,0,0,0,0
1/1/13 6:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/13 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
