GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),must-run?,Day Ahead Generator?
1,Biomass01,Biomass,bus012,3,31,26.184,0.42,0.42,1,1,0.9,15.9,0,0
2,Biomass02,Biomass,bus012,3,31,26.184,0.42,0.42,1,1,0.9,15.9,0,0
3,Biomass03,Biomass,bus103,1.2,31,10.464,0.42,0.42,1,1,0.36,6.36,0,0
4,Biomass04,Biomass,bus103,1.2,31,10.464,0.42,0.42,1,1,0.36,6.36,0,0
5,Biomass05,Biomass,bus012,1.3,31,11.352,0.42,0.42,6,6,0.26,6.89,0,0
6,Biomass06,Biomass,bus012,1.3,31,11.352,0.42,0.42,6,6,0.26,6.89,0,0
7,Biomass07,Biomass,bus012,3,31,26.184,0.42,0.42,6,6,0.6,15.9,0,0
8,Biomass08,Biomass,bus012,1.35,31,11.784,0.42,0.42,6,6,0.27,7.16,0,0
9,Biomass09,Biomass,bus012,1.35,31,11.784,0.42,0.42,6,6,0.27,7.16,0,0
10,Biomass10,Biomass,bus012,1.35,31,11.784,0.42,0.42,6,6,0.27,7.16,0,0
11,Biomass11,Biomass,bus012,0.71,31,6.192,0.42,0.42,6,6,0.14,3.76,0,0
12,Biomass12,Biomass,bus012,0.71,31,6.192,0.42,0.42,6,6,0.14,3.76,0,0
13,Biomass13,Biomass,bus012,0.71,31,6.192,0.42,0.42,6,6,0.14,3.76,0,0
14,Biomass14,Biomass,bus012,1.57,31,13.704,0.42,0.42,6,6,0.31,8.32,0,0
15,Biomass15,Biomass,bus012,0.65,31,5.664,0.42,0.42,6,6,0.13,3.45,0,0
16,Biomass16,Biomass,bus012,0.65,31,5.664,0.42,0.42,6,6,0.13,3.45,0,0
17,Biomass17,Biomass,bus012,0.65,31,5.664,0.42,0.42,6,6,0.13,3.45,0,0
18,Biomass18,Biomass,bus012,0.65,31,5.664,0.42,0.42,6,6,0.13,3.45,0,0
19,Biomass19,Biomass,bus012,0.45,31,3.936,0.42,0.42,6,6,0.09,2.39,0,0
20,Biomass20,Biomass,bus012,0.45,31,3.936,0.42,0.42,6,6,0.09,2.39,0,0
21,Biomass21,Biomass,bus012,0.45,31,3.936,0.42,0.42,6,6,0.09,2.39,0,0
22,Biomass22,Biomass,bus012,0.45,31,3.936,0.42,0.42,6,6,0.09,2.39,0,0
23,Biomass23,Biomass,bus012,1,31,8.736,0.42,0.42,6,6,0.2,5.3,0,0
