"DATETIME","Solar-bus015","Solar-bus018","Solar-bus019","Solar-bus032","Solar-bus054","Solar-bus055","Solar-bus069","Solar-bus076","Solar-bus092","Solar-bus100","Solar-bus104","Solar-bus105","Solar-bus110","Solar-bus112"
"1/1/24 1:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 1:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 1:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 1:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 2:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 2:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 2:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 2:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 3:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 3:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 3:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 3:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 4:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 4:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 4:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 4:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 5:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 5:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 5:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 5:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 6:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 6:15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 6:30",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 6:45",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 7:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1/1/24 7:15",0,0,0,0,0,0,0,0,1.504882906,0.954568016,9.917749675,1.416564578,2.983155191,0.831209556
"1/1/24 7:30",0.096124547,0.136839864,0.388371709,0,0,0,0,0,6.086774547,2.87567149,25.747226338,4.901410686,8.573849114,2.890987839
"1/1/24 7:45",0.506407559,1.206552721,2.046036885,0,0,0,0,0,16.156000358,6.196606581,47.397299824,11.802506855,17.666915279,6.986913439
"1/1/24 8:00",1.373481121,5.608563995,5.549271496,0.0197079,0,0,0,0,34.12288577,11.35066945,74.776840002,23.46782162,31.1571872,13.926564918
"1/1/24 8:15",2.936319101,13.306593527,11.303714965,9.779568157,0.716391176,0.258302574,3.400004354,0.258560942,61.42243646,18.54963193,107.423902164,40.639629452,49.43608134,24.158692277
"1/1/24 8:30",5.093803083,23.073909109,18.727814772,24.3234239,2.610561729,0.69083947,8.659652912,0.691530484,95.58837898,27.11916868,143.393283623,61.637428648,70.88134595,36.696731161
"1/1/24 8:45",7.749496536,33.233037437,26.99322041,42.41640225,6.510773061,1.317773581,15.561981589,1.319091687,133.17912014,36.16343002,180.36896717,84.175023443,93.36731229,50.195288617
"1/1/24 9:00",11.913063573,42.371979109,35.27158136,62.905746882,13.24528658,2.159267799,23.890026296,2.161427611,170.75306671,44.78656627,216.03493558,105.966218071,114.76831157,63.308971693
"1/1/24 9:15",17.683040778,49.346925776,42.88468151,84.263225978,23.2407427,3.196412401,33.178310493,3.199609619,205.46881672,52.28326376,248.50436809,125.19907048,133.40662997,74.964337274
"1/1/24 9:30",23.815905308,54.63944174,49.75484234,103.629638974,35.31729795,4.254007212,41.967307832,4.25826229,236.88573296,58.71035278,277.60722979,141.958653425,149.39637355,85.175741497
"1/1/24 9:45",29.004393721,59.202662695,55.95451966,117.833219302,47.89348785,5.117779439,48.54897951,5.122898508,265.16336924,64.31519964,303.60268233,156.804293373,163.29960336,94.229490318
"1/1/24 10:00",31.941242594,63.989724321,61.55616936,123.702200905,59.38784795,5.573456293,51.21528672,5.579031153,290.46127969,69.34517063,326.74988715,170.295316764,175.67838039,102.411889734
"1/1/24 10:15",31.817361102,69.608554209,66.62775578,119.481172223,68.38233096,5.493014795,48.93566876,5.498509193,312.9501728,73.99457737,347.33850128,182.849811149,186.98420973,109.947532146
"1/1/24 10:30",29.816348875,75.286247389,71.21927727,109.080142086,74.11255831,5.093431218,43.38947718,5.098525932,332.8453757,78.24551276,365.78016409,194.320908279,197.22637271,116.814155783
"1/1/24 10:45",27.619978139,79.904690828,75.37624069,97.825474581,75.97756859,4.677931646,36.93354167,4.682610756,350.3733701,82.02701506,382.5170102,204.420501001,206.3035946,122.927785367
"1/1/24 11:00",26.910021148,82.34577145,79.1441529,91.043533506,73.37640042,4.549742166,31.92469187,4.554293054,365.7606377,85.26812249,397.99117412,212.860482125,214.1146008,128.204445571
