,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1,0.006972014,0.084434341,0.385766654,0.611636481,0.004511257,1.864996271,0.008304185,0.048785878,0.044237998,0.062867044,0.018319683,16.03536983,10.14271355,12.46303758,37.1238304,3.266165648,110.2549786
2,0.004045381,0.056064546,0.282430641,0.529909074,0.002790072,1.616727662,0.004808401,0.034986434,0.03150671,0.043649321,0.012415484,15.69446131,10.8075667,13.29451874,37.12383204,2.870652452,76.26530678
3,0.001980459,0.035159195,0.253883446,0.469603352,0.001852218,1.469439019,0.00234561,0.026783615,0.022886494,0.031926278,0.007909768,15.70765071,11.3620355,13.49860194,37.12383258,2.504287051,53.70805242
4,0.000668312,0.020760313,0.286479103,0.42718128,0.001552579,1.405431268,0.000786061,0.023148418,0.017703423,0.026359299,0.004628717,15.98947943,11.79971356,13.19691837,37.12383204,2.173904345,40.92850055
5,0,0.011909923,0.366571646,0.399104827,0.001746038,1.407005336,0,0.023051837,0.01528357,0.025609768,0.002398519,16.45448889,12.11419449,12.51109923,37.1238304,1.886339233,36.2719362
6,0,0.007515179,0.47907791,0.381169497,0.002269723,1.455789968,0,0.025328469,0.014877335,0.028170278,0.001037391,17.02267373,12.30742439,11.57689478,37.12382794,1.65321541,37.90544762
7,0,0.005943743,0.60316593,0.36650496,0.002889733,1.530725189,0,0.028267305,0.015432421,0.031858264,0.000331677,17.6358415,12.41475923,10.58653161,37.12382603,1.50531175,43.28333604
8,9.95E-05,0.005428402,0.716566545,0.347574423,0.00335441,1.610078847,0.000143333,0.03002094,0.015820861,0.034322368,5.98E-05,18.24125302,12.47990746,9.746355404,37.1238263,1.478195921,49.6817059
9,0,0.004201946,0.79701059,0.316841095,0.003412099,1.672118786,0,0.028741964,0.014914685,0.033211235,1.30E-18,18.78616907,12.54657755,9.262711838,37.1238304,1.607435593,54.37666168
10,0,0.001171527,0.829414902,0.270100482,0.002899926,1.698473753,0,0.023264973,0.011964294,0.027017457,0,19.1905843,12.61671558,9.271351179,37.1238386,1.904654461,55.53529162
11,0,0,0.827440303,0.216477285,0.002010153,1.684216094,0,0.015152575,0.007733557,0.01760943,0,19.26542872,12.52521818,9.625642065,37.1238457,2.285700319,54.88861919
12,0,0,0.811933615,0.168428503,0.001023827,1.627779056,0,0.00664938,0.003364713,0.007699496,0,18.79436619,12.06521964,10.10835772,37.12384515,2.642476989,55.05865161
13,0,0,0.80374166,0.138411137,0.000221995,1.527595887,8.67E-19,0,1.73E-18,6.94E-18,0,17.56106059,11.02985421,10.50227138,37.1238304,2.86688829,58.66739615
14,0.002043249,0.00827653,0.819254451,0.135049164,0,1.38561367,0.002629208,0,0,0,0.000327662,15.48427175,9.331663699,10.6429915,37.12380007,2.883233011,67.19676759
15,0.003848419,0.016052984,0.85703477,0.151634481,0,1.217834831,0.005020699,0,0,0,0.002056832,13.02314345,7.360820053,10.57746741,37.12377356,2.745389804,77.56831092
16,0.003729379,0.016191734,0.911188592,0.177625964,0,1.043775633,0.005086014,0,0,0,0.00652879,10.77191545,5.626902734,10.40548372,37.12377547,2.539632289,85.5634787
17,0,0.001555155,0.975821891,0.202482488,2.17E-19,0.882952339,0.000736692,0,0,0,0.015084816,9.324827524,4.639491213,10.22682498,37.1238304,2.352234086,86.96372346
18,0,0,1.04506108,0.2179317,9.36E-05,0.756598605,0,0.001448497,0.000415416,0.000949259,0.030054438,9.135917406,4.775588341,10.11973621,37.12394353,2.245236894,79.11665745
19,0,0,1.113114337,0.224776318,0.000124396,0.692817657,0,0.002548729,0.000436711,0.001006127,0.057720182,10.09841477,5.881890504,10.07630406,37.12404244,2.183754732,65.6345317
20,0,0.079865998,1.174210276,0.226087833,0.000120051,0.721430114,0.004810977,0.003687875,0.000239651,0.000588532,0.105352823,11.96534729,7.672517471,10.06707561,37.12403534,2.108669698,51.69575698
21,0.016039684,0.321537253,1.222577514,0.224937732,0.000108234,0.872256593,0.050300098,0.005253117,0,0.000114401,0.180223136,14.4897426,9.86158901,10.06259795,37.1238304,1.96086389,42.47874401
22,0.062414732,0.742055367,1.251902172,0.223823356,0.0001104,1.157931408,0.13427004,0.007449335,0,0,0.287940089,17.41482627,12.16395471,10.04361942,37.12340822,1.700277787,41.75275172
23,0.126639308,1.289117098,1.253700389,0.222945448,0.00012315,1.522343642,0.249010291,0.009752223,0,0,0.42746543,20.44461544,14.29738344,10.03169337,37.12303905,1.363085392,47.65043164
24,0.200810225,1.888841691,1.218945811,0.2219306,0.000136874,1.892196076,0.382819498,0.011455174,0,0.000182799,0.596099103,23.27332515,15.98037389,10.0585744,37.12306556,1.004519088,56.89528349
25,0.277024299,2.467348387,1.138612081,0.220405406,0.000141961,2.194191489,0.523996307,0.011851583,0,0.000442432,0.79114105,25.59517043,16.93142474,10.15601714,37.1238304,0.679811258,66.21080698
26,0.347525353,2.962361979,1.011627865,0.218039726,0.000130617,2.373059295,0.660704529,0.010465561,0.000143663,0.000648675,1.006071671,27.14796684,16.96499727,10.33814528,37.12536164,0.432527134,72.85121556
27,0.405145252,3.358029451,0.868741905,0.214676481,0.000102315,2.44563546,0.780568637,0.00774408,0.000244736,0.000706123,1.219093201,27.84393192,16.27940312,10.54855892,37.12642898,0.259563333,76.19357754
28,0.44286287,3.650103332,0.748657964,0.210201863,5.83E-05,2.446782587,0.871078265,0.004364831,0.000223441,0.000521117,1.404588332,27.63888377,15.16891651,10.71322724,37.12548751,0.146149322,76.145675
29,0.453657079,3.834336156,0.690079807,0.204502061,0,2.411363276,0.919723049,0.001005504,1.08E-19,0,1.536939756,26.48864043,13.92781168,10.75811943,37.12099236,0.077514566,72.61528999
30,0.433764954,3.910016617,0.717698604,0.197404871,0,2.370187291,0.91849631,0,0,0,1.596658737,24.44514933,12.81879801,10.63262529,37.11195997,0.039957566,65.77074742
31,0.392456361,3.89057807,0.800155171,0.188504521,0,2.337853034,0.877406098,0,0,0,1.588770834,21.94487517,11.97832557,10.37981711,37.09965225,0.024052967,56.82254356
32,0.342259368,3.792990037,0.892077729,0.177336846,0,2.324906072,0.810964152,0,0,0,1.524430175,19.52041202,11.51127957,10.0661878,37.08589246,0.021444449,47.24171756
33,0.295702042,3.634222035,0.948094503,0.163437682,0,2.341891966,0.733682205,0,0,0,1.414790892,17.70435393,11.52254524,9.758230256,37.07250385,0.023775692,38.49930854
34,0.262325954,3.430835056,0.934538215,0.146522994,0.000208265,2.391271024,0.657803261,0.005201917,0.001595869,0.003008756,1.27186413,16.87506764,12.05484187,9.510280109,37.06091883,0.02467729,31.76003911
35,0.23972669,3.197755969,0.864559589,0.12702926,0.00048018,2.443162512,0.586495386,0.011203974,0.002989593,0.006387821,1.111089112,16.79401065,12.90222501,9.328043873,37.0510064,0.0257275,26.96336566
36,0.222513338,2.949503116,0.763013849,0.105573091,0.000755565,2.45960044,0.520657915,0.015893393,0.00288852,0.008567371,0.948762076,17.06841313,13.79658429,9.205070786,37.04224469,0.03049149,23.74242805
37,0.205294988,2.700594837,0.654756217,0.082771095,0.000974244,2.402618817,0.46119018,0.017157398,8.67E-19,0.007977584,0.801179259,17.30550524,14.46980932,9.134910086,37.03411185,0.042534432,21.73036617
38,0.184194316,2.466010701,0.559929562,0.05947195,0.001102713,2.249490387,0.408871287,0.01403261,0,0.003967534,0.680995805,17.20833002,14.72162168,9.130995313,37.02613564,0.063865032,20.57998603
39,0.161388352,2.262575183,0.47982732,0.037452618,0.001214179,2.038442834,0.363999428,0.010153247,0,0,0.586302466,16.86318183,14.62307084,9.286297221,37.0180423,0.090266151,20.02275832
40,0.140567713,2.107573988,0.411030574,0.018722128,0.001408525,1.822942577,0.326752564,0.010302926,0,0,0.511548899,16.45216791,14.31303821,9.713670866,37.00960768,0.115964186,19.80981992
41,0.125423016,2.018292819,0.350120404,0.005289509,0.001785635,1.656456033,0.29730866,0.019265264,3.47E-18,0.005338086,0.451184763,16.15739548,13.93040522,10.52597131,37.00060764,0.135185534,19.69230767
42,0.118317242,2.001346426,0.294261884,0,0.002389315,1.575228125,0.275502986,0.039572629,0.023743538,0.021585366,0.400715722,16.08343535,13.57085453,11.75216352,36.99108883,0.144862246,19.47510672
43,0.116302834,2.02066575,0.242956056,0,0.003039059,1.546617783,0.259800047,0.064752394,0.053969836,0.042281162,0.359871478,16.02471274,13.15727385,13.08565222,36.98218109,0.152748982,19.17809539
44,0.1151046,2.029510779,0.196287953,0,0.003498285,1.520762441,0.248321658,0.086080681,0.081931769,0.060438886,0.329437738,15.69811642,12.56935214,14.13595203,36.97528503,0.169306058,18.87490025
45,0.110447346,1.9811415,0.15434261,0,0.003530411,1.447799532,0.239189631,0.094833612,0.098882211,0.069071948,0.310200212,14.82053521,11.68677835,14.51257758,36.97180129,0.204993787,18.6391479
46,0.099301476,1.843304131,0.117248756,0.001009249,0.002985022,1.293254692,0.230558668,0.085086061,0.098581196,0.063370034,0.301867647,13.22009209,10.44438912,13.95665072,36.97353905,0.264388435,18.52882911
47,0.083619776,1.641689812,0.085309902,0.001044254,0.002056378,1.084206368,0.220715016,0.0621079,0.084817394,0.047227932,0.299840941,11.16984685,8.997611786,12.73572216,36.98394179,0.328530064,18.53939143
